,tic,date,open,high,low,close,volume,day
0,600276.SH,2012-01-04,29.5,29.75,28.4,28.45,11847.13,2
1,600309.SH,2012-01-04,12.97,13.1,12.45,12.5,96092.38,2
2,600519.SH,2012-01-04,191.5,192.77,185.0,185.27,33878.28,2
3,601318.SH,2012-01-04,34.89,35.0,33.81,33.9,145722.0,2
4,601888.SH,2012-01-04,26.59,26.77,25.58,25.59,12186.29,2
5,600276.SH,2012-01-05,28.04,28.5,26.6,27.0,38922.96,3
6,600309.SH,2012-01-05,12.49,12.65,12.0,12.1,98669.94,3
7,600519.SH,2012-01-05,184.0,185.2,182.36,183.15,30122.64,3
8,601318.SH,2012-01-05,33.55,34.6,33.52,33.93,181671.25,3
9,601888.SH,2012-01-05,25.7,26.38,24.06,24.17,33085.74,3
10,600276.SH,2012-01-06,27.02,27.24,26.24,26.55,33756.86,4
11,600309.SH,2012-01-06,12.1,12.19,11.73,12.06,73107.04,4
12,600519.SH,2012-01-06,183.1,188.05,181.65,186.64,25190.62,4
13,601318.SH,2012-01-06,33.86,34.2,33.61,33.85,170816.99,4
14,601888.SH,2012-01-06,24.1,24.83,22.91,23.61,32178.57,4
15,600276.SH,2012-01-09,26.65,27.5,25.6,27.4,43085.35,0
16,600309.SH,2012-01-09,12.08,12.5,11.84,12.47,151864.28,0
17,600519.SH,2012-01-09,186.0,188.09,181.77,188.01,26160.16,0
18,601318.SH,2012-01-09,33.9,34.75,33.35,34.73,331519.29,0
19,601888.SH,2012-01-09,23.65,24.53,23.24,24.41,20048.36,0
20,600276.SH,2012-01-10,27.25,28.16,26.99,27.75,30371.21,1
21,600309.SH,2012-01-10,12.45,13.23,12.41,13.21,169922.82,1
22,600519.SH,2012-01-10,187.0,194.66,186.11,194.48,39235.6,1
23,601318.SH,2012-01-10,34.8,36.39,34.75,36.29,385120.6,1
24,601888.SH,2012-01-10,24.48,26.0,24.18,25.6,28113.64,1
25,600276.SH,2012-01-11,27.7,27.99,27.4,27.7,22914.32,2
26,600309.SH,2012-01-11,13.25,13.44,12.97,13.25,154606.08,2
27,600519.SH,2012-01-11,192.95,193.89,189.3,189.68,39891.16,2
28,601318.SH,2012-01-11,36.2,36.45,35.65,35.83,265092.68,2
29,601888.SH,2012-01-11,25.67,26.38,25.67,25.95,18911.5,2
30,600276.SH,2012-01-12,27.7,27.86,27.25,27.37,19448.9,3
31,600309.SH,2012-01-12,13.22,13.51,13.06,13.31,111308.6,3
32,600519.SH,2012-01-12,188.58,191.56,188.58,190.35,27440.36,3
33,601318.SH,2012-01-12,35.79,37.0,35.65,36.37,228282.35,3
34,601888.SH,2012-01-12,25.7,26.17,25.38,25.47,15653.97,3
35,600276.SH,2012-01-13,27.59,27.65,26.77,26.8,22659.07,4
36,600309.SH,2012-01-13,13.24,13.38,12.58,12.83,141761.67,4
37,600519.SH,2012-01-13,190.7,191.2,187.52,188.69,20542.3,4
38,601318.SH,2012-01-13,36.38,36.72,35.6,36.03,188645.0,4
39,601888.SH,2012-01-13,25.7,25.78,24.83,24.93,22400.76,4
40,600276.SH,2012-01-16,26.54,26.79,25.95,26.0,14736.41,0
41,600309.SH,2012-01-16,12.7,12.87,12.39,12.5,72838.04,0
42,600519.SH,2012-01-16,187.38,187.38,175.66,177.41,51655.79,0
43,601318.SH,2012-01-16,35.9,36.4,35.58,35.59,139129.55,0
44,601888.SH,2012-01-16,25.0,25.05,23.52,23.59,25257.71,0
45,600276.SH,2012-01-17,26.11,26.98,24.9,26.02,73474.76,1
46,600309.SH,2012-01-17,12.5,13.43,12.37,13.39,142078.17,1
47,600519.SH,2012-01-17,177.9,181.98,170.9,180.44,61227.64,1
48,601318.SH,2012-01-17,35.78,37.92,35.45,37.82,312293.27,1
49,601888.SH,2012-01-17,23.61,24.75,23.35,24.72,18276.11,1
50,600276.SH,2012-01-18,26.0,26.08,24.46,24.66,42776.19,2
51,600309.SH,2012-01-18,13.35,13.58,13.1,13.26,135192.29,2
52,600519.SH,2012-01-18,181.42,185.18,176.66,177.38,47294.65,2
53,601318.SH,2012-01-18,37.7,38.5,37.28,37.45,225228.58,2
54,601888.SH,2012-01-18,24.62,24.96,23.88,24.01,13913.08,2
55,600276.SH,2012-01-19,24.83,25.25,24.4,25.2,42475.94,3
56,600309.SH,2012-01-19,13.25,13.9,13.01,13.76,130860.22,3
57,600519.SH,2012-01-19,177.89,181.6,175.51,180.7,24329.42,3
58,601318.SH,2012-01-19,37.51,38.65,37.51,38.51,356225.6,3
59,601888.SH,2012-01-19,24.06,24.66,23.6,24.41,15470.16,3
60,600276.SH,2012-01-20,25.2,27.17,25.2,26.68,49622.94,4
61,600309.SH,2012-01-20,13.8,14.2,13.7,14.09,151571.99,4
62,600519.SH,2012-01-20,182.0,186.2,182.0,185.97,29683.2,4
63,601318.SH,2012-01-20,38.77,39.47,38.56,39.1,398086.33,4
64,601888.SH,2012-01-20,24.53,25.2,24.39,25.01,29464.85,4
