account_rewards,date
-3297454.3975190013,2012-01-09
-7710.385134001523,2012-01-10
-4781.08970229984,2012-01-11
-30973.963726600152,2012-01-12
-62189.156472202034,2012-01-13
55619.242332803005,2012-01-16
-47840.88911170201,2012-01-17
20881.722613996968,2012-01-18
24778.116879098176,2012-01-19
-22604.699031900873,2012-01-20
6606.03110309969,2012-01-30
-10444.545473998567,2012-01-31
22081.354352399278,2012-02-01
1559.4269285037512,2012-02-02
7534.667975500739,2012-02-03
-24595.756066801594,2012-02-06
29825.674811101766,2012-02-07
-6180.235499100409,2012-02-08
-4383.244786901663,2012-02-09
-2345.7211205991375,2012-02-10
-3116.3569402006465,2012-02-13
6807.833342301994,2012-02-14
-5575.697288498829,2012-02-15
-4401.169056701984,2012-02-16
-4436.722710299458,2012-02-17
7816.344294699759,2012-02-20
13972.827091497811,2012-02-21
-3358.8485698968248,2012-02-22
6260.444917698825,2012-02-23
9392.676612199306,2012-02-24
1204.4105401019885,2012-02-27
-17019.64211200047,2012-02-28
-12874.20779140109,2012-02-29
20010.568022399904,2012-03-01
-19796.06884059921,2012-03-02
-27970.066340398524,2012-03-05
-25487.315595097938,2012-03-06
18752.838458200244,2012-03-07
28166.794398498834,2012-03-08
6740.612905701901,2012-03-09
8795.44753150098,2012-03-12
-32910.07347960181,2012-03-13
10644.083414601271,2012-03-14
25725.39623910106,2012-03-15
1523.1955011968555,2012-03-16
-39675.80054989715,2012-03-19
-14075.891615000728,2012-03-20
-18106.19687220042,2012-03-21
-28979.42923969906,2012-03-22
42063.96045450066,2012-03-23
-527.3634760018655,2012-03-26
-75978.84820570001,2012-03-27
-27183.354774999705,2012-03-28
4642.613721000905,2012-03-29
47254.75432189668,2012-03-30
-8915.670547696987,2012-04-05
-25127.402576001776,2012-04-06
-4307.414662998835,2012-04-09
30017.291820899383,2012-04-10
14072.127571098641,2012-04-12
-35573.391593199674,2012-04-13
-29190.922769202447,2012-04-16
11524.672060997482,2012-04-17
-51293.55408609874,2012-04-18
14868.49478099664,2012-04-19
-26274.954188401076,2012-04-20
-15978.706784199441,2012-04-23
22495.174063500875,2012-04-24
-13011.056589901102,2012-04-25
2255.274067301275,2012-04-26
62673.857636200635,2012-04-27
-3078.6229510007183,2012-05-02
-55581.902254198874,2012-05-03
28535.640571799224,2012-05-04
938.6612520995542,2012-05-07
-53289.70088679923,2012-05-08
31003.1900431994,2012-05-09
-18295.6181798005,2012-05-10
-6360.642330999504,2012-05-11
-35178.32580839976,2012-05-14
-23789.184266800454,2012-05-15
12064.652299000049,2012-05-16
-38575.052787702785,2012-05-17
53586.29943200042,2012-05-18
10506.386518601075,2012-05-21
27469.082269800947,2012-05-22
-33380.917431202164,2012-05-23
-42345.04406969972,2012-05-24
73085.52551620013,2012-05-25
14508.810894298707,2012-05-28
-18455.452989599926,2012-05-29
-25848.70347369929,2012-05-30
47090.59824110291,2012-05-31
-47969.049558000894,2012-06-01
16041.885787501078,2012-06-04
-34105.52538900011,2012-06-05
-38734.864138402685,2012-06-06
-35960.05782799935,2012-06-07
85766.2938035008,2012-06-08
53546.252331901356,2012-06-11
6895.944305800549,2012-06-12
-14897.77676009992,2012-06-13
-31723.996769901514,2012-06-14
-147.80048929854564,2012-06-15
50696.68008489754,2012-06-18
-106519.15546239921,2012-06-19
-37866.33129099774,2012-06-20
-9434.184955200355,2012-06-21
-42206.822107399996,2012-06-25
-37650.7114671006,2012-06-26
-3528.678742099455,2012-06-27
19473.92374279879,2012-06-28
141244.1208597996,2012-06-29
-28810.293081001626,2012-07-02
11299.053089700661,2012-07-03
9413.987257600696,2012-07-04
72301.42490369959,2012-07-05
54393.63125759985,2012-07-06
-81765.79646009953,2012-07-09
