account_rewards,date
-3462925.602757102,2012-01-09
-6528.887332601473,2012-01-10
1129.36805809848,2012-01-11
-30919.445892199874,2012-01-12
-67287.47489079926,2012-01-13
62898.12120340206,2012-01-16
-43700.250234501436,2012-01-17
32009.82557010092,2012-01-18
40049.84089850169,2012-01-19
-27192.435579299927,2012-01-20
20533.908992303535,2012-01-30
-8477.14116510125,2012-01-31
25252.21990470124,2012-02-01
13606.612827597408,2012-02-02
18446.415549697955,2012-02-03
-33732.7445303977,2012-02-06
46828.94128049899,2012-02-07
8887.764835797723,2012-02-08
-4386.770573599181,2012-02-09
21964.301551699453,2012-02-10
162.8905797013968,2012-02-13
26861.73913590048,2012-02-14
-21558.96602760003,2012-02-15
-5196.255296601212,2012-02-16
-8433.691696497997,2012-02-17
33878.10932600004,2012-02-20
27899.489028000477,2012-02-21
5973.567663699192,2012-02-22
51007.76160420188,2012-02-23
24872.066594699307,2012-02-24
20932.841639500286,2012-02-27
6811.910739301176,2012-02-28
-26654.243230599728,2012-02-29
15140.599830300735,2012-03-01
-21715.10417610303,2012-03-02
-57732.17915049765,2012-03-05
-60323.95717279979,2012-03-06
44456.48782749933,2012-03-07
91960.5480132011,2012-03-08
18679.69916939951,2012-03-09
33861.11713069948,2012-03-12
-91483.26227729775,2012-03-13
26840.125659600017,2012-03-14
118934.74138349676,2012-03-15
-26520.19739139947,2012-03-16
-61439.679901401476,2012-03-19
-35776.89460780002,2012-03-20
9146.167543303485,2012-03-21
7174.497821798796,2012-03-22
95164.98135739742,2012-03-23
-162439.14845349765,2012-03-26
-93820.1489493996,2012-03-27
-41060.562158901485,2012-03-28
-34488.501990398654,2012-03-29
195174.6540187005,2012-03-30
45743.40028739866,2012-04-05
1322.2992673012527,2012-04-06
36079.813490299115,2012-04-09
109609.64887189938,2012-04-10
22082.59147640168,2012-04-12
-24570.363696797896,2012-04-13
-67689.99971370355,2012-04-16
95237.0503644011,2012-04-17
-121155.00678279993,2012-04-18
90236.6727733023,2012-04-19
-35304.63612990293,2012-04-20
-12028.009375697877,2012-04-23
30268.628060698844,2012-04-24
53780.850411298175,2012-04-25
133462.92904040022,2012-04-26
113293.5457968016,2012-04-27
50977.37508650024,2012-05-02
159864.47371489895,2012-05-03
-750.999682998317,2012-05-04
-108759.03760000145,2012-05-07
-194837.59239999956,2012-05-08
-91122.63559999697,2012-05-09
-80747.08240000124,2012-05-10
-198223.89439999973,2012-05-11
-61781.87360000193,2012-05-14
-159824.12360000002,2012-05-15
-8087.074000001835,2012-05-16
-139973.11560000078,2012-05-17
71053.65800000246,2012-05-18
41945.789200000836,2012-05-21
15608.833199998708,2012-05-22
