account_rewards,date
-3295649.585692001,2012-01-09
-9750.988339501446,2012-01-10
-6192.117041201119,2012-01-11
-40472.301370397974,2012-01-12
-73631.20543080063,2012-01-13
56636.66489800094,2012-01-16
-43737.50509469767,2012-01-17
20788.46227159915,2012-01-18
22118.262745301305,2012-01-19
-29200.5061575989,2012-01-20
2134.100420099846,2012-01-30
-21666.389682998837,2012-01-31
16292.327222400558,2012-02-01
848.6047149008447,2012-02-02
2743.2540527991387,2012-02-03
-38812.28243689819,2012-02-06
32163.635255300047,2012-02-07
-1883.8993111014754,2012-02-08
-8031.314508098581,2012-02-09
-575.0171301993294,2012-02-10
-12596.47433030009,2012-02-13
6249.279123098907,2012-02-14
-26267.020227300087,2012-02-15
-14596.79657870053,2012-02-16
-13797.49979369911,2012-02-17
1104.7092922021309,2012-02-20
13846.441940398036,2012-02-21
-3062.275562496688,2012-02-22
20079.080030998277,2012-02-23
1663.1054843984818,2012-02-24
-1747.4178913993696,2012-02-27
-16043.797472901255,2012-02-28
-22900.32763669989,2012-02-29
5439.755281999796,2012-03-01
-23267.762905501626,2012-03-02
-43961.153363500685,2012-03-05
-39211.48288470232,2012-03-06
22165.98518789943,2012-03-07
36065.448858199794,2012-03-08
-17261.127214999276,2012-03-09
8088.122479601532,2012-03-12
-50086.06262060116,2012-03-13
-19780.391924999374,2012-03-14
59178.218336398764,2012-03-15
-8549.111404199528,2012-03-16
-40740.78388949918,2012-03-19
-23506.79978549932,2012-03-20
-34609.59135659836,2012-03-21
8307.032236401175,2012-03-22
15169.142611900594,2012-03-23
-51572.268860801254,2012-03-26
-74444.13308299879,2012-03-27
-33564.517460099734,2012-03-28
-24745.413547599208,2012-03-29
88664.8396568004,2012-03-30
-1028.800513598913,2012-04-05
-15872.07103809856,2012-04-06
-9850.35349260103,2012-04-09
37634.86786659962,2012-04-10
19098.501865900525,2012-04-12
-44628.10570530147,2012-04-13
-60964.85963659808,2012-04-16
42855.80916300077,2012-04-17
-36878.92351309888,2012-04-18
8155.096982199603,2012-04-19
-39337.252724900274,2012-04-20
-24569.124823798877,2012-04-23
22336.76941310006,2012-04-24
-12399.76740600145,2012-04-25
34923.71853350008,2012-04-26
80586.96178750147,2012-04-27
-11301.062952402117,2012-05-02
-175383.87366479734,2012-05-03
7507.8445610977515,2012-05-04
-18205.52404239907,2012-05-07
-79036.00601560104,2012-05-08
-5037.834980699414,2012-05-09
-22268.223721500406,2012-05-10
-65995.92799750087,2012-05-11
-12020.739131299037,2012-05-14
-49171.83167110064,2012-05-15
23643.28175600186,2012-05-16
-69514.31284530269,2012-05-17
60480.46770190101,2012-05-18
48384.35937339942,2012-05-21
-1728.8615398003312,2012-05-22
-82158.16664289942,2012-05-23
-47374.621385598264,2012-05-24
67090.83641239903,2012-05-25
19463.476041899234,2012-05-28
-19702.412499399314,2012-05-29
4753.615371300317,2012-05-30
22617.443665200648,2012-05-31
-103566.44981800026,2012-06-01
12748.440346199417,2012-06-04
-55717.63918429848,2012-06-05
-15168.565313802716,2012-06-06
-44691.8907347001,2012-06-07
19981.21262239995,2012-06-08
-12838.020512799838,2012-06-11
54966.01373769949,2012-06-12
-10935.360517499626,2012-06-13
-68029.93701480023,2012-06-14
-7371.480544097454,2012-06-15
-27956.70363270184,2012-06-18
-71748.98964290002,2012-06-19
-78010.96744199797,2012-06-20
-92616.83076990097,2012-06-21
-74195.22474849975,2012-06-25
-9981.12399720014,2012-06-26
-100870.65866610172,2012-06-27
34535.96800220183,2012-06-28
71917.88752059903,2012-06-29
52228.07791309913,2012-07-02
3340.14451790074,2012-07-03
-90908.79850850147,2012-07-04
97234.46523700136,2012-07-05
-72388.64465779946,2012-07-06
-100118.27210400139,2012-07-09
112902.17994199903,2012-07-10
-8947.623392197927,2012-07-11
18486.788448299612,2012-07-12
-114174.82014650055,2012-07-13
-118074.1556471011,2012-07-16
-107505.26896479992,2012-07-17
-4688.11323729895,2012-07-18
-101828.60289650076,2012-07-19
-61936.81517490237,2012-07-20
52676.1812440021,2012-07-23
-13424.855829999482,2012-07-24
-91901.03534879854,2012-07-25
-60745.5786759008,2012-07-26
-45284.994052802016,2012-07-27
-55412.41294240056,2012-07-30
2745.5066824011647,2012-07-31
-29361.81720419739,2012-08-01
31605.388320200498,2012-08-02
48285.617202396556,2012-08-03
4783.338855902426,2012-08-06
-58389.58616779803,2012-08-07
95331.38214569847,2012-08-08
-178546.59105879982,2012-08-09
-108282.93759220012,2012-08-10
-49044.01179030035,2012-08-13
-109935.2686545989,2012-08-14
-65346.554672701604,2012-08-15
-94952.11940559738,2012-08-16
-19473.0967379016,2012-08-17
21590.449884299986,2012-08-20
-95946.30337130168,2012-08-21
-42141.87401379912,2012-08-22
-6050.890141497781,2012-08-23
-142952.3016165016,2012-08-24
-25534.24429210129,2012-08-27
-114129.26420429739,2012-08-28
-72063.4391073007,2012-08-29
-35257.1300066998,2012-08-30
13035.61918849983,2012-08-31
93083.42156309905,2012-09-03
-6683.490767099247,2012-09-04
-13577.289534402164,2012-09-05
246829.45883200158,2012-09-06
-53002.6944466015,2012-09-07
-83344.0901954998,2012-09-10
825.1599715984249,2012-09-11
-73553.36889999878,2012-09-12
51472.33527110153,2012-09-13
-176111.07433379957,2012-09-14
-50074.21246930072,2012-09-17
-31579.916464200298,2012-09-18
-124406.25059659895,2012-09-19
