account_rewards,date
-4088471.201242799,2012-01-09
-19996.024682700172,2012-01-10
1912.479881701991,2012-01-11
-29030.16823300009,2012-01-12
-60131.03403990157,2012-01-13
54279.95178590249,2012-01-16
-20882.66111329768,2012-01-17
17127.496461099337,2012-01-18
19882.268067598146,2012-01-19
-17259.211210699465,2012-01-20
3848.1720945993275,2012-01-30
-9304.842425500427,2012-01-31
28462.506896600626,2012-02-01
13211.624756900164,2012-02-02
10976.510196798414,2012-02-03
-22602.876495599,2012-02-06
39883.510282300835,2012-02-07
-2466.8826427007916,2012-02-08
-351.72503010005204,2012-02-09
4335.592386499074,2012-02-10
-2187.167047803236,2012-02-13
12926.401902601334,2012-02-14
-8095.544279097195,2012-02-15
-213.76169390166402,2012-02-16
953.4031581982106,2012-02-17
11873.442892199097,2012-02-20
14867.392901202276,2012-02-21
-1105.8846098015545,2012-02-22
21498.755466099825,2012-02-23
9748.294677997728,2012-02-24
1694.624717801838,2012-02-27
-11951.205255399514,2012-02-28
-1801.1167366015136,2012-02-29
25459.06214330092,2012-03-01
-9050.855665400779,2012-03-02
-19139.09676499789,2012-03-05
-20286.749687599447,2012-03-06
21508.00908099853,2012-03-07
31930.295584801497,2012-03-08
-7442.6240520994115,2012-03-09
12412.89297929965,2012-03-12
-56549.21324109824,2012-03-13
-8263.360413401833,2012-03-14
42487.91840950003,2012-03-15
-17621.394187299004,2012-03-16
-56004.06973550225,2012-03-19
-5210.473370300776,2012-03-20
-3877.0918547007186,2012-03-21
-26047.76618490042,2012-03-22
4441.121540700484,2012-03-23
-6833.610769502971,2012-03-26
-64633.099815396476,2012-03-27
-10883.372178701582,2012-03-28
17397.541614800328,2012-03-29
60120.219652300046,2012-03-30
2252.7235969985695,2012-04-05
-17270.309841398946,2012-04-06
32089.188973597902,2012-04-09
38233.00583000183,2012-04-10
19337.747283100016,2012-04-12
-8426.321564301197,2012-04-13
-43915.51180449905,2012-04-16
49385.579574497955,2012-04-17
-25422.888863399294,2012-04-18
31316.184946701505,2012-04-19
-31996.681069301223,2012-04-20
-14091.597668799226,2012-04-23
10518.611295801256,2012-04-24
5804.459111499633,2012-04-25
19735.43228159908,2012-04-26
54674.88506000065,2012-04-27
6733.050782301321,2012-05-02
24462.54562170175,2012-05-03
9435.388458799049,2012-05-04
-6035.406306499403,2012-05-07
-54551.849144800784,2012-05-08
-6519.9709225997185,2012-05-09
-9838.021893299252,2012-05-10
-33609.91297919898,2012-05-11
828.783871499419,2012-05-14
-37319.9442260994,2012-05-15
35740.07408410182,2012-05-16
-34652.76080380298,2012-05-17
19264.00498799923,2012-05-18
35469.54337580151,2012-05-21
25202.851613302446,2012-05-22
-50182.47870420093,2012-05-23
-36714.57797379931,2012-05-24
50984.21786939998,2012-05-25
39444.6235144998,2012-05-28
-8055.961854900324,2012-05-29
5855.069839001531,2012-05-30
-6431.16122189893,2012-05-31
-80365.79764570238,2012-06-01
11817.36946080033,2012-06-04
12355.194154300112,2012-06-05
-29623.27847840132,2012-06-06
-10175.997950100042,2012-06-07
24765.000433600828,2012-06-08
-270207.0099130007,2012-06-11
43657.9509392006,2012-06-12
-3990.675796400437,2012-06-13
-3165.6815026987256,2012-06-14
-5173.106791900205,2012-06-15
-28314.131013701048,2012-06-18
-13560.326862400712,2012-06-19
-41787.73171829768,2012-06-20
-58338.801105498904,2012-06-21
-180998.02816540078,2012-06-25
-16233.037023499199,2012-06-26
-27235.102256600567,2012-06-27
44392.143594100686,2012-06-28
11827.156356100526,2012-06-29
15233.026458299795,2012-07-02
12584.878564100716,2012-07-03
-27845.1533476974,2012-07-04
47915.52248539736,2012-07-05
-64083.37949569967,2012-07-06
-23325.13536809895,2012-07-09
9303.047308098656,2012-07-10
12174.306402300492,2012-07-11
-10657.303021599279,2012-07-12
-86911.54594130075,2012-07-13
-24764.351845000434,2012-07-16
-10242.59857169881,2012-07-17
8431.716681299713,2012-07-18
-27251.700193798435,2012-07-19
-27023.92289579826,2012-07-20
6268.945140598566,2012-07-23
-1380.543271399863,2012-07-24
-42362.7420291995,2012-07-25
-6306.72664160097,2012-07-26
-24533.5712172976,2012-07-27
-9584.460708701545,2012-07-30
30569.32737500097,2012-07-31
7084.760130199678,2012-08-01
18081.746739701975,2012-08-02
34442.32963439995,2012-08-03
-366.62705340131845,2012-08-06
-36849.89444329946,2012-08-07
69685.26359009923,2012-08-08
-10966.783165599398,2012-08-09
-37263.35323039935,2012-08-10
-14764.094406500893,2012-08-13
-41213.53917319987,2012-08-14
-22696.39880099901,2012-08-15
-4055.068370501758,2012-08-16
-33253.357997699444,2012-08-17
28915.2248301007,2012-08-20
-38780.45105970113,2012-08-21
10910.266258800524,2012-08-22
-14578.39581830012,2012-08-23
-40133.2179830006,2012-08-24
4143.627048901303,2012-08-27
-15893.624935501944,2012-08-28
-24064.539461700027,2012-08-29
-5321.446405799572,2012-08-30
51375.675916799024,2012-08-31
-27128.92655739879,2012-09-03
35118.17869450051,2012-09-04
18337.705147497854,2012-09-05
163745.18482280013,2012-09-06
12926.857722600678,2012-09-07
-2618.630756799982,2012-09-10
5407.624372399541,2012-09-11
-4014.8468217995046,2012-09-12
3635.1000812002258,2012-09-13
-103423.0035422004,2012-09-14
-21630.893204099182,2012-09-17
26514.954645099733,2012-09-18
-84829.14227679906,2012-09-19
28500.10404109802,2012-09-20
23696.654188899684,2012-09-21
-8940.395476899375,2012-09-24
-28829.231156898022,2012-09-25
90566.18346469897,2012-09-26
66711.71569659971,2012-09-27
-10745.09190320003,2012-09-28
68248.28298120083,2012-10-08
1003.0739873993917,2012-10-09
-39072.25770110015,2012-10-10
10000.919967300228,2012-10-11
-1664.2921385001646,2012-10-12
17168.754669400536,2012-10-15
-2509.143686198956,2012-10-16
58919.8747763995,2012-10-17
-25975.981819900568,2012-10-18
16666.141291699794,2012-10-19
-64134.15815829985,2012-10-22
1186.8070410007622,2012-10-23
-21739.85009890018,2012-10-24
-64108.99982630009,2012-10-25
-19335.21380030121,2012-10-26
10777.62827550074,2012-10-29
15902.542090898047,2012-10-30
72007.89511670047,2012-10-31
16316.345864197623,2012-11-01
