account_rewards,date
-3329969.7628144,2012-01-09
-5610.968866799958,2012-01-10
4622.797754799947,2012-01-11
-27588.237847699784,2012-01-12
-68908.97082070075,2012-01-13
69175.19353620056,2012-01-16
-41405.12875050027,2012-01-17
31352.83092840016,2012-01-18
33031.8677730998,2012-01-19
-23715.544883700088,2012-01-20
17662.20393849723,2012-01-30
-19132.56025959924,2012-01-31
22940.77006650375,2012-02-01
6798.020935800676,2012-02-02
12376.450134101959,2012-02-03
-28101.07288330091,2012-02-06
57637.76083590232,2012-02-07
3321.207409599252,2012-02-08
884.7228727980673,2012-02-09
13348.938045497402,2012-02-10
-3724.8397096998174,2012-02-13
17368.86456520064,2012-02-14
-23147.526261298422,2012-02-15
-3106.3155737006164,2012-02-16
2589.587193500225,2012-02-17
16092.630200599273,2012-02-20
28642.743374200585,2012-02-21
19992.40828329666,2012-02-22
42580.438642502726,2012-02-23
27390.345081499843,2012-02-24
26479.472292101633,2012-02-27
6996.6515940008185,2012-02-28
-20586.093950899645,2012-02-29
24439.035733000797,2012-03-01
-18668.84318890237,2012-03-02
-64774.276160297006,2012-03-05
-55275.86888130043,2012-03-06
70072.73094819965,2012-03-07
99864.28225240042,2012-03-08
9556.684081698868,2012-03-09
17475.27814840093,2012-03-12
-63146.1690505986,2012-03-13
-2598.683852399781,2012-03-14
145636.54816969854,2012-03-15
22105.377647299734,2012-03-16
-47103.38154450076,2012-03-19
-35395.197255397106,2012-03-20
-37038.37709529816,2012-03-21
33034.736209797826,2012-03-22
61927.45177459941,2012-03-23
-82292.99913209869,2012-03-26
-111272.1065158009,2012-03-27
-38184.50118399996,2012-03-28
-26465.397837500477,2012-03-29
219182.3843971013,2012-03-30
11867.651889098363,2012-04-05
-7172.892945400858,2012-04-06
-11967.497289398878,2012-04-09
93151.83081680053,2012-04-10
48057.573332101296,2012-04-12
-50105.549170598104,2012-04-13
-79356.14877380445,2012-04-16
101094.17023700217,2012-04-17
-43095.10463919935,2012-04-18
67661.65677720148,2012-04-19
-34504.59850110249,2012-04-20
-27794.47295939766,2012-04-23
78386.79198789746,2012-04-24
28122.680154298996,2012-04-25
120578.37216100101,2012-04-26
174840.02431060115,2012-04-27
16105.428001800141,2012-05-02
-329492.89484780136,2012-05-03
25606.01882540196,2012-05-04
21987.890693098743,2012-05-07
-144042.00599290087,2012-05-08
-61129.09664029626,2012-05-09
-100105.38240000028,2012-05-10
-167979.9443999998,2012-05-11
-57491.403600001955,2012-05-14
-130627.9736,2012-05-15
-15166.634000001832,2012-05-16
-150901.64560000077,2012-05-17
70290.73800000155,2012-05-18
48642.36920000267,2012-05-21
-29965.616800002234,2012-05-22
-240526.93999999782,2012-05-23
-134306.97040000182,2012-05-24
137743.2552000014,2012-05-25
-23165.9072000007,2012-05-28
-50198.700000002544,2012-05-29
13226.230800002713,2012-05-30
31232.089999997315,2012-05-31
-223339.97519999667,2012-06-01
11562.197599999748,2012-06-04
-156843.42880000034,2012-06-05
-91319.36480000126,2012-06-06
-90649.55639999986,2012-06-07
-15650.611999996681,2012-06-08
-52260.32480000348,2012-06-11
44497.317200000725,2012-06-12
-31847.54920000125,2012-06-13
-116377.61679999929,2012-06-14
-9034.774799999268,2012-06-15
-107304.00280000016,2012-06-18
-157731.15479999984,2012-06-19
-172877.8603999995,2012-06-20
-165644.62840000112,2012-06-21
-87322.16759999911,2012-06-25
-56410.71440000216,2012-06-26
-175817.52039999753,2012-06-27
39119.25399999866,2012-06-28
67801.42559999984,2012-06-29
75692.12960000154,2012-07-02
-12743.232399999815,2012-07-03
-180812.92360000362,2012-07-04
138757.56199999954,2012-07-05
-137979.04879999714,2012-07-06
-180540.34719999917,2012-07-09
183968.2555999988,2012-07-10
-65982.58239999927,2012-07-11
35787.280399998825,2012-07-12
-165338.99439999767,2012-07-13
-258414.97960000136,2012-07-16
-224496.66000000088,2012-07-17
-24367.527199999327,2012-07-18
-178766.00039999784,2012-07-19
-119703.43000000382,2012-07-20
54189.086400001266,2012-07-23
-34001.95759999871,2012-07-24
-185925.5324000006,2012-07-25
-144289.60560000062,2012-07-26
-97745.40960000058,2012-07-27
-120594.71640000127,2012-07-30
-68820.4627999985,2012-07-31
-36551.93479999888,2012-08-01
25986.296800000764,2012-08-02
27071.828399997034,2012-08-03
-32951.96679999767,2012-08-06
-127083.98119999775,2012-08-07
111713.46239999964,2012-08-08
-288676.6276000027,2012-08-09
-150412.30519999735,2012-08-10
-112062.73920000334,2012-08-13
-176828.23800000004,2012-08-14
-160514.8132000004,2012-08-15
-209623.75079999745,2012-08-16
-57977.22240000266,2012-08-17
5090.180400003455,2012-08-20
-173318.6756000022,2012-08-21
-121062.81159999948,2012-08-22
-36762.930799998205,2012-08-23
-214100.57840000113,2012-08-24
-71819.2884000009,2012-08-27
-207329.5735999977,2012-08-28
-125945.37760000242,2012-08-29
-62474.517999999014,2012-08-30
-15394.44640000015,2012-08-31
88596.37360000185,2012-09-03
-25583.179600000625,2012-09-04
-73346.40840000386,2012-09-05
261513.4764000024,2012-09-06
-67319.55760000146,2012-09-07
-123736.81439999936,2012-09-10
-54005.4116000012,2012-09-11
-103712.04599999865,2012-09-12
16891.23360000097,2012-09-13
-253464.4843999993,2012-09-14
-103128.20080000033,2012-09-17
-109796.24560000145,2012-09-18
-208143.41319999847,2012-09-19
-26218.301600002964,2012-09-20
-1781.4595999964617,2012-09-21
-1195.3872000030183,2012-09-24
-133023.6547999984,2012-09-25
97286.94920000051,2012-09-26
81065.05799999915,2012-09-27
-182888.66359999712,2012-09-28
87603.83199999481,2012-10-08
-90010.80560000114,2012-10-09
-146698.66119999954,2012-10-10
-42756.93479999781,2012-10-11
-52516.85439999817,2012-10-12
-5570.287600003425,2012-10-15
-93208.76039999879,2012-10-16
33368.68240000067,2012-10-17
-62689.52879999897,2012-10-18
-109999.47000000173,2012-10-19
-256082.30039999812,2012-10-22
-118144.65240000075,2012-10-23
-82120.18640000056,2012-10-24
-204268.94159999958,2012-10-25
-94332.18279999893,2012-10-26
-37976.76480000074,2012-10-29
-15409.003599998252,2012-10-30
62632.86039999862,2012-10-31
-55324.00720000115,2012-11-01
-165485.05479999745,2012-11-02
-127662.52400000473,2012-11-05
-33102.56359999911,2012-11-06
-155994.6387999986,2012-11-07
-77730.68920000186,2012-11-08
-141891.49919999635,2012-11-09
-173376.45440000232,2012-11-12
11972.44999999959,2012-11-13
-155892.65239999985,2012-11-14
