time/episodes,train/reward,train/actor_loss,train/critic_loss,time/fps,time/total_timesteps,train/learning_rate,time/time_elapsed,train/n_updates
4,-25.287102,-1317.7933877417256,40544.422770559635,91,7764,0.0005,84,5823
8,-24.636833,-18.18238590944065,10183.756971702202,78,15528,0.0005,197,13587
12,-23.944769,425.835881226828,1147.5351002224938,75,23292,0.0005,306,21351
16,-24.63982,602.71242907218,831.755538362624,75,31056,0.0005,410,29115
20,-25.690678,703.1596914583233,656.9547242759614,74,38820,0.0005,518,36879
24,-25.903116,686.701666382402,829.948871673474,73,46584,0.0005,632,44643
28,-25.642687,710.5551524174575,375.40817797276117,72,54348,0.0005,753,52407
32,-26.330368,744.2538099647612,247.40465269722563,71,62112,0.0005,873,60171
36,-25.272732,774.3780166020656,199.86291589790986,70,69876,0.0005,986,67935
40,-25.623993,801.167859949567,140.0304893521167,70,77640,0.0005,1094,75699
44,-25.68255,822.0620337618435,135.92083118994907,71,85404,0.0005,1201,83463
48,-25.924414,833.5203986347244,115.60368172057446,70,93168,0.0005,1314,91227
52,-25.860737,842.8816969496635,104.0773343337313,70,100932,0.0005,1426,98991
